,Country code,Probability to Vote,Left-Right Placement,,Party name used in questionnaire,Party name in English,Mean Left-Right,"Mean EU integration
stance",Party code for vote choice in EP 2014,Party code for vote choice in EP 2014,Party Code in EMCS,Party Code in CHES,Party code in vote choice/id questions,,,
Variable name:,country-code,qpp8_X,qpp14_X,qpp19_X,,,qpp14_X_mean,qpp19_X_mean,qp2_ees,qp2,qp2_emcs,qp2_ches,"qpp5_ees, qpp6_ees, qpp21_ees[i]",qpp5,qpp6,qpp21
,,,,,,,,,,,,,,,,
Austria,,,,,,,,,,,,,,,,
AT,1040,qpp8_1,qpp14_1,,Österreichische Volkspartei (ÖVP),Austrian People's Party,6.36,6.91,1040520,2,42520,1302,1040520,1,2,3
AT,1040,qpp8_2,qpp14_2,,Sozialdemokratische Partei Österreichs (SPÖ),Austrian Social Democratic Party,4.47,6.89,1040320,1,42320,1301,1040320,2,1,2
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
AT,1040,qpp8_3,qpp14_3,,NEOS - Das Neue Österreich,NEOS - The New Austria and Liberal Forum,4.95,6.08,1040423,7,42421,1309,1040423,3,9,10
,,,,,,,,,,,,,,,,
AT,1040,qpp8_4,qpp14_4,,Die Grünen – Die grüne Alternative,The Greens,3.71,6.63,1040110,5,42110,1304,1040110,4,5,6
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
AT,1040,qpp8_5,qpp14_5,,Freiheitliche Partei Österreichs (FPÖ),Austrian Freedom Party,9.07,3.59,1040420,3,42420,1303,1040420,5,3,4
AT,1040,qpp8_6,qpp14_6,,Bündnis Zukunft Österreich (BZÖ),Alliance for the Future of Austria,7.79,4.06,1040600,4,,1307,1040600,6,4,5
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
AT,1040,,,,Europa Anders (KPÖ + Piratenpartei + Der Wandel + Independent) (Coalition Europa Anders),Europe Different,,,20,6,,,,,,
AT,1040,,,,Die Reformkonservativen – REKOS (REKOS),The Reform Conservatives,,,20,8,,,20,,10,11
AT,1040,,,,"EU-Austritt, Direkte Demokratie, Neutralität (EU-Stop) (EUStop)",EU Stop,,,20,9,,,20,,,
AT,1040,,,,Liberales Forum (LIF),Liberal Forum,,,,,,,20,7,,
AT,1040,,,,Bürgerforum Österreich (FRITZ),Citizens' Forum Austria,,,,,,,20,8,,
AT,1040,,,,Kommunistische Partei Österreichs (KPÖ),Austrian Communist Party,,,,,,,20,9,6,7
AT,1040,,,,Piratenpartei,Pirate Party of Austria,,,,,,,20,,7,8
AT,1040,,,,Der Wandel,The Change,,,,,,,20,,8,9
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Belgium - Flanders,,,,,,,,,,,,,,,,
BE,1056,qpp8_1,qpp14_1,,PVDA+ | PTB-go! (Partij van de Arbeid – Parti du Travail de Belgique),Workers Party of Belgium,3.15,5.55,1056325,22,30,119,1056325,1,22,23
BE,1056,qpp8_2,qpp14_2,,CD&V (Christen-Democratisch en Vlaams),Christian Democratic and Flemish Party,6.30,6.61,1056521,16,21521,109,1056521,2,16,17
BE,1056,qpp8_3,qpp14_3,,sp.a (Socialistische Partij – Anders),Socialist Party Different,4.44,6.28,1056327,19,21321,103,1056327,3,19,20
BE,1056,qpp8_4,qpp14_4,,Open VLD (Vlaamse Liberalen en Democraten),Open Flemish Liberals and Democrats,6.71,6.56,1056421,21,21421,107,1056421,4,21,22
BE,1056,qpp8_5,qpp14_5,,N-VA (Nieuw-Vlaamse Alliantie),New Flemish Alliance,8.47,5.68,1056913,18,21913,110,1056913,5,18,19
BE,1056,qpp8_6,qpp14_6,,Groen,Green,4.26,6.46,1056112,17,21112,105,1056112***,,17,18
BE,1056,qpp8_7,qpp14_7,,Vlaams Belang (VB),Flemish Interest,8.85,3.96,1056711,20,21914,112,1056711,7,20,21
BE,1056,,,,PS (Parti Socialiste),People's Party,,,20,1,,,20,9,1,2
BE,1056,,,,MR (Mouvement Réformateur),Reform Movement,,,20,2,,,20,10,2,3
BE,1056,,,,cdH (Centre Démocrate Humaniste),Humanist Democratic Centre,,,20,3,,,20,8,3,4
BE,1056,,,,Ecolo (Ecologistes Confédérés pour l'Organisation de Luttes Originales),Ecologists,,,20,4,,,20,11,4,5
BE,1056,,,,FN (Front National),National Front (Belgium),,,20,5,,,20,,5,6
BE,1056,,,,PTB-go! (Parti du Travail de Belgique),Workers Party of Belgium,,,20,6,,,20,13,6,7
BE,1056,,,,FDF (Fédéralistes démocrates francophones),Francophone Democratic Federalists,,,20,7,,,20,,7,8
BE,1056,,,,La droite,The Right,,,20,8,,,20,,8,9
BE,1056,,,,Parti populaire (PP),People's Party,,,20,9,,,20,12,9,10
BE,1056,,,,Andere partijen van het Franstalige kiescollege,Other parties from the francophone electoral camp,,,20,10,,,20,,10,11
BE,1056,,,,CSP (Christlich Soziale Partei),Christian Social Party,,,20,11,,,20,,11,12
BE,1056,,,,SP (Sozialistische Partei),Socialist Party,,,20,12,,,20,,12,13
BE,1056,,,,PFF (Partei für Freiheit und Fortschritt),Party for Freedom and Progress,,,20,13,,,20,,13,14
BE,1056,,,,ProDG (Pro deutschsprachige Gemeinschaft),ProDG,,,20,14,,,20,,14,15
BE,1056,,,,Andere partijen van het Duitstalige kiescollege,Other parties from the german electoral camp,,,20,15,,,20,,15,16
BE,1056,,,,Andere partijen van het Nederlandstalige kiescollege,Other parties from the dutch electoral camp,,,20,23,,,20,,23,24
BE,1056,,,,Piratenpartij,Pirate Party,,,,,,,20,6,,
,,,,,,,,,,,,,,,,
Belgium - Wallonia,,,,,,,,,,,,,,,,
BE,1056,qpp8_1,qpp14_1,qpp19_1,cdH (Centre Democrate Humaniste),Humanist Democratic Centre,5.58,5.54,1056522,3,21522,108,1056522,8,3,4
BE,1056,qpp8_2,qpp14_2,qpp19_2,PS (Parti Socialiste),Francophone Socialist Party,4.29,5.51,1056322,1,21322,102,1056322,9,1,2
BE,1056,qpp8_3,qpp14_3,qpp19_3,MR (Mouvement Réformateur),Reform Movement,7.59,5.36,1056427,2,21427,106,1056427,10,2,3
BE,1056,qpp8_4,qpp14_4,qpp19_4,Ecolo,Ecologists,5.06,5.43,1056111,4,21111,104,1056111,11,4,5
BE,1056,qpp8_5,qpp14_5,qpp19_5,Parti populaire (PP),People's Party,7.05,4.45,1056601,9,,120,20,12,9,10
