country,YEAR,ESS_wave,Wgt_median_anti_immig_pos,Wgt_mean_anti_immig_pos
AT,2003,2002,6,4.827729674267985
AT,2004,0204_interpolation,5,4.528132208244246
AT,2005,2004,4,4.228534742220507
AT,2006,0406_interpolation,4.5,4.313961192790774
AT,2007,2006,5,4.399387643361041
AT,2008,0608_interpolation,NA,NA
AT,2009,2008,NA,NA
AT,2010,0810_interpolation,NA,NA
AT,2011,2010,NA,NA
AT,2012,1012_interpolation,NA,NA
AT,2013,2012,NA,NA
AT,2014,1214_interpolation,NA,NA
AT,2015,2014,4,4.207438823417495
AT,2016,1416_interpolation,4.5,4.410253360350563
AT,2017,2016,5,4.613067897283631
AT,2018,1618_interpolation,4.5,4.4229891570105755
BE,2003,2002,4,4.263588379958634
BE,2004,0204_interpolation,4,4.376756945449575
BE,2005,2004,4,4.489925510940516
BE,2006,0406_interpolation,4,4.311089037690527
BE,2007,2006,4,4.132252564440539
BE,2008,0608_interpolation,3.5,4.0628365055585585
BE,2009,2008,3,3.993420446676578
BE,2010,0810_interpolation,3.5,4.180666749325834
BE,2011,2010,4,4.36791305197509
BE,2012,1012_interpolation,4,4.255884117425362
BE,2013,2012,4,4.143855182875635
BE,2014,1214_interpolation,4,4.18016845166173
BE,2015,2014,4,4.216481720447825
BE,2016,1416_interpolation,3.5,3.924640381062975
BE,2017,2016,3,3.632799041678125
BE,2018,1618_interpolation,3,3.513015850440202
BG,2003,2002,NA,NA
BG,2004,0204_interpolation,NA,NA
BG,2005,2004,NA,NA
BG,2006,0406_interpolation,NA,NA
BG,2007,2006,3,3.878004453833049
BG,2008,0608_interpolation,3,3.626371308343664
BG,2009,2008,3,3.3747381628542796
BG,2010,0810_interpolation,3,3.2818018266888007
BG,2011,2010,3,3.188865490523322
BG,2012,1012_interpolation,3,3.4764461534274984
BG,2013,2012,3,3.764026816331675
BG,2014,1214_interpolation,NA,NA
BG,2015,2014,NA,NA
BG,2016,1416_interpolation,NA,NA
BG,2017,2016,NA,NA
BG,2018,1618_interpolation,NA,NA
CY,2003,2002,NA,NA
CY,2004,0204_interpolation,NA,NA
CY,2005,2004,NA,NA
CY,2006,0406_interpolation,NA,NA
CY,2007,2006,6,5.908252238418181
CY,2008,0608_interpolation,5.5,5.555857957598537
CY,2009,2008,5,5.203463676778893
CY,2010,0810_interpolation,5.5,5.4879650596643295
CY,2011,2010,6,5.772466442549767
CY,2012,1012_interpolation,6,6.049794048709142
CY,2013,2012,6,6.327121654868516
CY,2014,1214_interpolation,NA,NA
CY,2015,2014,NA,NA
CY,2016,1416_interpolation,NA,NA
CY,2017,2016,NA,NA
CY,2018,1618_interpolation,NA,NA
CZ,2003,2002,4,4.503469961244619
CZ,2004,0204_interpolation,4.5,4.714391914912285
CZ,2005,2004,5,4.92531386857995
CZ,2006,0406_interpolation,NA,NA
CZ,2007,2006,NA,NA
CZ,2008,0608_interpolation,NA,NA
CZ,2009,2008,6,5.166357159714384
CZ,2010,0810_interpolation,6,5.213177622624665
CZ,2011,2010,6,5.259998085534946
CZ,2012,1012_interpolation,6,5.313118475156539
CZ,2013,2012,6,5.366238864778133
CZ,2014,1214_interpolation,6,5.497268891176706
CZ,2015,2014,6,5.628298917575278
CZ,2016,1416_interpolation,6,5.751508102971129
CZ,2017,2016,6,5.87471728836698
CZ,2018,1618_interpolation,6,5.999748604937525
DE,2003,2002,3,3.918008591788944
DE,2004,0204_interpolation,3.5,4.149906072160212
DE,2005,2004,4,4.381803552531479
DE,2006,0406_interpolation,4,4.34944309786771
DE,2007,2006,4,4.317082643203942
DE,2008,0608_interpolation,3.5,3.9298363378949794
DE,2009,2008,3,3.5425900325860176
DE,2010,0810_interpolation,3,3.6154819745471594
DE,2011,2010,3,3.688373916508301
DE,2012,1012_interpolation,3,3.3960478867204875
DE,2013,2012,3,3.1037218569326734
DE,2014,1214_interpolation,3,3.0469167429684503
DE,2015,2014,3,2.990111629004227
DE,2016,1416_interpolation,3,2.981129782883545
DE,2017,2016,3,2.9721479367628625
DE,2018,1618_interpolation,3,2.9948712710756187
DK,2003,2002,4,4.075385182273725
DK,2004,0204_interpolation,4,4.136799346955982
DK,2005,2004,4,4.198213511638239
DK,2006,0406_interpolation,4,4.058601712911759
DK,2007,2006,4,3.918989914185279
DK,2008,0608_interpolation,4,3.911394178735083
DK,2009,2008,4,3.903798443284887
DK,2010,0810_interpolation,4,3.813710344452322
DK,2011,2010,4,3.7236222456197576
DK,2012,1012_interpolation,4,3.7622356947253905
DK,2013,2012,4,3.800849143831023
DK,2014,1214_interpolation,4,3.854090535775502
DK,2015,2014,4,3.907331927719981
DK,2016,1416_interpolation,NA,NA
DK,2017,2016,NA,NA
DK,2018,1618_interpolation,NA,NA
EE,2003,2002,NA,NA
EE,2004,0204_interpolation,NA,NA
EE,2005,2004,5,5.188571130568179
EE,2006,0406_interpolation,5,5.076676516450796
EE,2007,2006,5,4.964781902333414
EE,2008,0608_interpolation,5,4.915543461390676
EE,2009,2008,5,4.86630502044794
EE,2010,0810_interpolation,5,4.675296066981347
EE,2011,2010,5,4.484287113514754
EE,2012,1012_interpolation,4.5,4.457616157352911
EE,2013,2012,4,4.430945201191068
EE,2014,1214_interpolation,4.5,4.485909180948981
EE,2015,2014,5,4.5408731607068935
EE,2016,1416_interpolation,5,4.579027944581439
EE,2017,2016,5,4.617182728455984
EE,2018,1618_interpolation,4.5,4.500259696561555
ES,2003,2002,4,4.048097788941935
ES,2004,0204_interpolation,3.5,4.005935178181147
ES,2005,2004,3,3.96377256742036
ES,2006,0406_interpolation,3.5,4.222498314108525
ES,2007,2006,4,4.48122406079669
ES,2008,0608_interpolation,5,4.6178306164341265
ES,2009,2008,6,4.754437172071563
ES,2010,0810_interpolation,5,4.5487832499283085
ES,2011,2010,4,4.3431293277850544
